"""","大学・大学院_学校数(校)","大学・大学院_学生数(人)","大学・大学院_学生数うち男(人)","大学・大学院_学部学生数(人)","大学・大学院_学部学生数うち男(人)","大学・大学院_大学院学生数(人)","大学・大学院_大学院学生数うち男(人)","大学・大学院_教員数 (本務者)(人)","大学・大学院_教員数 (本務者)うち男(人)","大学・大学院_職員数 (本務者)(人)"
"昭和60年(1985年)","3.0","4176.0","3258.0","3596.0","2760.0","60.0","52.0","457.0","435.0","971.0"
"平成 2年(1990年)","3.0","4846.0","3774.0","4004.0","3063.0","82.0","71.0","464.0","432.0","917.0"
"平成 7年(1995年)","3.0","6966.0","5464.0","5876.0","4589.0","208.0","153.0","514.0","467.0","968.0"
"平成12年(2000年)","3.0","8663.0","6506.0","7247.0","5409.0","455.0","355.0","607.0","535.0","1090.0"
"","","","","","","","","","",""
"平成15年(2003年)","3.0","8309.0","6127.0","6728.0","4916.0","718.0","556.0","589.0","518.0","1100.0"
"平成16年(2004年)","3.0","8382.0","6085.0","6746.0","4854.0","776.0","598.0","636.0","543.0","1120.0"
"平成17年(2005年)","3.0","8485.0","6075.0","6839.0","4833.0","786.0","591.0","619.0","527.0","1118.0"
"","","","","","","","","","",""
"平成18年(2006年)","3.0","8612.0","6089.0","6965.0","4861.0","776.0","570.0","614.0","528.0","1169.0"
"平成19年(2007年)","3.0","8651.0","6009.0","7042.0","4817.0","752.0","545.0","632.0","533.0","1153.0"
"平成20年(2008年)","3.0","8768.0","6038.0","7131.0","4849.0","782.0","570.0","647.0","533.0","1190.0"
"平成21年(2009年)","3.0","8887.0","6074.0","7230.0","4884.0","816.0","591.0","657.0","535.0","1168.0"
"平成22年(2010年)","3.0","8811.0","6005.0","7148.0","4782.0","864.0","634.0","654.0","531.0","1200.0"
"","","","","","","","","","",""
"平成23年(2011年)","3.0","8798.0","5908.0","7088.0","4668.0","906.0","673.0","659.0","534.0","1250.0"
"平成24年(2012年)","3.0","8788.0","5883.0","7113.0","4677.0","858.0","640.0","680.0","548.0","1273.0"
"平成25年(2013年)","3.0","8699.0","5718.0","7046.0","4566.0","824.0","590.0","679.0","536.0","1282.0"
"平成26年(2014年)","3.0","8676.0","5622.0","7019.0","4489.0","811.0","574.0","663.0","523.0","1325.0"
"","","","","","","","","","",""
"国  立","1.0","4737.0","3068.0","4089.0","2631.0","530.0","389.0","292.0","233.0","144.0"
"公  立","1.0","1767.0","1010.0","936.0","435.0","185.0","104.0","350.0","270.0","1157.0"
"私  立","1.0","2172.0","1544.0","1994.0","1423.0","96.0","81.0","21.0","20.0","24.0"
